ITEMNMBR,warehouse location,predicted_demand for location (item count),Current inventory for location (item count),Current gap (item count),Item value,Aggregate metric
T-32206,L,0.0,1043.16,-1043.16,0.6529957816738681,-0.3925516990413902
D-18100N,1,1995.0478701896036,0.0,1995.0478701896036,0.6513977713234498,-0.3926333606172283
T-31510R,3,0.0,7511.24,-7511.24,0.6562556280093684,-0.39270636598514075
D-18100N,3,1209.8980184433644,0.0,1209.8980184433644,0.6513977713234498,-0.39356645596687334
D-18100N,E1,0.0,0.0,0.0,0.6513977713234498,-0.39500433462410467
D-18100N,L,0.0,0.0,0.0,0.6513977713234498,-0.39500433462410467
D-18100N,U,0.0,0.0,0.0,0.6513977713234498,-0.39500433462410467
D-18100N,W,0.0,0.0,0.0,0.6513977713234498,-0.39500433462410467
T-32206,3,12520.576062611386,17047.88,-4527.303937388615,0.6529957816738681,-0.3966923589399314
T-32202,1,186388.99607093248,4703.65,181685.3460709325,0.5566442510495523,-0.39802128031485473
D-17206,2,3155.259946579277,0.0,3155.259946579277,0.6482407583428935,-0.3985491147624092
D-17206,1,1457.4150144475618,0.0,1457.4150144475618,0.6482407583428935,-0.40056688399087803
D-17206,3,1223.3010096798546,0.0,1223.3010096798546,0.6482407583428935,-0.40084511201149053
D-17206,E1,65.10194444444446,0.0,65.10194444444446,0.6482407583428935,-0.4022215501007683
D-17206,L,0.0,0.0,0.0,0.6482407583428935,-0.4022989191806693
D-17206,U,0.0,0.0,0.0,0.6482407583428935,-0.4022989191806693
D-17206,W,0.0,0.0,0.0,0.6482407583428935,-0.4022989191806693
F-04076,L,49808.94827586207,13069.22,36739.72827586207,0.6291781765400997,-0.40268228074126444
T-32206,U,0.0,11389.48,-11389.48,0.6529957816738681,-0.40484757231509416
T-31510R,1,996.7064646957895,18740.45,-17743.743535304213,0.6562556280093684,-0.4048669763995518
T-31510,U,0.0,14862.84,-14862.84,0.6540510290855184,-0.40653716481451474
T-32300,E1,0.0,10.98,-10.98,0.6418124336802509,-0.41716523548203754
T-32300,W,0.0,67.08,-67.08,0.6418124336802509,-0.417231906384412
T-32300,3,6517.209168700591,6596.79,-79.5808312994086,0.6418124336802509,-0.4172467627427572
T-32300,L,0.0,278.93,-278.93,0.6418124336802509,-0.4174836752020239
D-13306,2,4481.361846540877,0.0,4481.361846540877,0.6388341300334823,-0.41870806262839166
T-32300,U,0.0,3045.41,-3045.41,0.6418124336802509,-0.42077144201130845
F-04076,1,52467.307480006275,31130.27,21337.037480006275,0.6291781765400997,-0.42098729490087783
